   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5392    0.030    0.000    0.447    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:662(load)
     5392    0.027    0.000    0.185    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\collections\__init__.py:581(__init__)
     5394    0.027    0.000    0.027    0.000 {method 'search' of 're.Pattern' objects}
     5392    0.026    0.000    0.689    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\__init__.py:97(sent_tokenize)
     4000    0.025    0.000    0.130    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:1916(new_block)
    25590    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
    48000    0.024    0.000    0.033    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
     8000    0.024    0.000    0.056    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:5175(_get_values_for_loc)
     8000    0.023    0.000    0.106    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
     4000    0.021    0.000    0.031    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:190(is_sparse)
     8000    0.020    0.000    0.045    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:5696(_maybe_cast_indexer)
     4000    0.020    0.000    0.029    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:230(__init__)
     8000    0.020    0.000    0.064    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:5480(__setattr__)
     4000    0.020    0.000    1.342    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexing.py:918(__getitem__)
    20000    0.020    0.000    0.020    0.000 {pandas._libs.lib.is_list_like}
    10787    0.020    0.000    0.156    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1345(_realign_boundaries)
     5392    0.018    0.000    0.158    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\probability.py:137(update)
     8000    0.017    0.000    0.047    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1264(is_bool_dtype)
     5392    0.017    0.000    0.798    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\__init__.py:131(<listcomp>)
    20000    0.017    0.000    0.017    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:349(iget)
     4000    0.016    0.000    0.016    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:950(<listcomp>)
     4000    0.016    0.000    0.053    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:1875(get_block_type)
     4000    0.016    0.000    0.021    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:553(_get_axis)
     5393    0.016    0.000    0.016    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\compat.py:25(add_py3_data)
     5392    0.016    0.000    0.016    0.000 {method 'format' of 'str' objects}
     8000    0.015    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:2130(is_floating)
    43155    0.015    0.000    0.015    0.000 {method 'replace' of 'str' objects}
     4000    0.015    0.000    0.015    0.000 {built-in method numpy.empty}
     5392    0.015    0.000    1.501    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\__init__.py:115(word_tokenize)
     7796    0.014    0.000    0.014    0.000 {method 'finditer' of 're.Pattern' objects}
     4000    0.014    0.000    0.028    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:574(is_dtype_equal)
     6000    0.014    0.000    0.028    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\missing.py:144(_isna)
     5392    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
     5397    0.014    0.000    0.025    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:289(_compile)
     8000    0.014    0.000    0.019    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:1670(internal_values)
     4000    0.013    0.000    0.021    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
     5392    0.013    0.000    0.198    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\probability.py:88(__init__)
     4000    0.013    0.000    0.036    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:96(_get_single_key)
     4000    0.013    0.000    0.042    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
    32365    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
     5392    0.013    0.000    0.140    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\collections\__init__.py:649(update)
     4000    0.013    0.000    0.156    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:1565(from_array)
     6000    0.013    0.000    0.013    0.000 {built-in method pandas._libs.missing.checknull}
     4000    0.013    0.000    0.158    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\numpy\core\numerictypes.py:599(find_common_type)
     4000    0.013    0.000    0.033    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:674(_try_cast)
     5392    0.013    0.000    0.200    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1270(tokenize)
     5392    0.013    0.000    0.187    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1321(sentences_from_text)
    12000    0.012    0.000    0.014    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:431(ensure_wrapped_if_datetimelike)
    64000    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
     4000    0.012    0.000    0.046    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexing.py:1482(_validate_integer)
     4000    0.012    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:565(_get_root)
10808/10787    0.012    0.000    0.136    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:308(_pair_iter)
    12000    0.011    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
    10787    0.011    0.000    0.168    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1310(span_tokenize)
     8000    0.011    0.000    0.011    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:579(_get_deprecated_option)
     5394    0.011    0.000    0.059    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:198(search)
     8000    0.011    0.000    0.030    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:674(_values)
    12000    0.010    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
     4000    0.010    0.000    0.022    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
    16001    0.010    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:794(__len__)
     4000    0.010    0.000    0.027    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:627(name)
    16000    0.010    0.000    0.074    0.000 {built-in method builtins.all}
     4000    0.010    0.000    0.028    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:1843(maybe_coerce_values)
    18000    0.010    0.000    0.010    0.000 {pandas._libs.lib.is_scalar}
     8000    0.010    0.000    0.038    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1814(<genexpr>)
     4000    0.010    0.000    0.010    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:528(_set_axis)
     4000    0.009    0.000    0.017    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:577(name)
     4000    0.009    0.000    0.010    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:314(is_datetime64_dtype)
     4000    0.009    0.000    0.019    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\base.py:34(__len__)
     4000    0.009    0.000    0.009    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\flags.py:47(__init__)
     4000    0.008    0.000    0.362    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\base.py:145(interleaved_dtype)
    16000    0.008    0.000    0.016    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1543(get_dtype)
     8000    0.008    0.000    0.067    0.000 {built-in method builtins.any}
     4000    0.008    0.000    0.008    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\numpy\core\numerictypes.py:651(<listcomp>)
     4000    0.008    0.000    0.058    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:114(_get_option)
     4000    0.008    0.000    0.009    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:1535(__init__)
    10880    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     8000    0.008    0.000    0.014    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
    20000    0.008    0.000    0.008    0.000 {pandas._libs.lib.is_integer}
     4000    0.007    0.000    0.007    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:5464(__getattr__)
        1    0.007    0.007    0.007    0.007 {built-in method io.open}
     8000    0.007    0.000    0.012    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1744(pandas_dtype)
     8000    0.007    0.000    0.011    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1420(is_extension_array_dtype)
     4000    0.007    0.000    0.007    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexing.py:133(iloc)
     4000    0.007    0.000    0.012    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:1931(check_ndim)
     5392    0.007    0.000    0.174    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1328(<listcomp>)
     4000    0.006    0.000    0.065    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:242(__call__)
     4006    0.006    0.000    0.006    0.000 {built-in method fromkeys}
     4000    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    10787    0.006    0.000    0.007    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:34(_get_bothseps)
     8000    0.006    0.000    0.034    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:369(extract_array)
     6000    0.006    0.000    0.035    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\missing.py:61(isna)
    32367    0.006    0.000    0.006    0.000 {built-in method nt.fspath}
    12000    0.006    0.000    0.053    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1836(<genexpr>)
     4000    0.006    0.000    0.013    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:434(_validate_dtype)
     2000    0.006    0.000    0.006    0.000 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:54(<dictcomp>)
      601    0.005    0.000    0.367    0.001 {built-in method builtins.print}
     8000    0.005    0.000    0.009    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
     8000    0.005    0.000    0.005    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:1615(_block)
     4000    0.005    0.000    0.017    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
     5392    0.005    0.000    0.006    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:277(period_context_re)
     4000    0.005    0.000    0.009    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:606(_sanitize_ndim)
     4000    0.005    0.000    0.011    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
     1202    0.005    0.000    0.007    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\colorama\ansitowin32.py:245(convert_osc)
    24000    0.005    0.000    0.005    0.000 {built-in method builtins.issubclass}
     4000    0.005    0.000    0.008    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:3834(_set_is_copy)
     1202    0.005    0.000    0.358    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
     4000    0.005    0.000    0.009    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:781(is_empty_data)
     4000    0.005    0.000    0.010    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:6382(maybe_extract_name)
     4000    0.005    0.000    0.005    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\generic.py:539(_get_axis_number)
        1    0.004    0.004    0.004    0.004 {built-in method _pickle.load}
     4000    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
    12000    0.004    0.000    0.006    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1820(<genexpr>)
     8000    0.004    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1829(<genexpr>)
     1202    0.004    0.000    0.344    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\colorama\ansitowin32.py:193(write_plain_text)
     8000    0.004    0.000    0.008    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1737(<genexpr>)
     4000    0.004    0.000    0.004    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:547(_select_options)
     4000    0.004    0.000    0.013    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:618(_warn_if_deprecated)
    12000    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
    11071    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     8000    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
    12000    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     5392    0.004    0.000    0.018    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\abc.py:96(__instancecheck__)
     8000    0.004    0.000    0.004    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:144(classes)
    12000    0.004    0.000    0.004    0.000 {pandas._libs.lib.is_float}
     4000    0.004    0.000    0.010    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:1973(extract_pandas_array)
     8000    0.003    0.000    0.007    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1831(<genexpr>)
     8000    0.003    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:238(mgr_locs)
     4000    0.003    0.000    0.004    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:388(is_timedelta64_dtype)
     4000    0.003    0.000    0.015    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\inference.py:184(is_array_like)
     5418    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     5392    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     8000    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     4000    0.003    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:6280(ensure_index)
5406/5392    0.003    0.000    0.122    0.000 {built-in method builtins.next}
     4000    0.003    0.000    0.008    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\common.py:526(require_length_match)
     5395    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     8000    0.003    0.000    0.004    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:146(<lambda>)
     1202    0.002    0.000    0.360    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\colorama\ansitowin32.py:160(write)
     4000    0.002    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:663(_maybe_repeat)
     4000    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_iterator}
     4000    0.002    0.000    0.005    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexers.py:66(is_list_like_indexer)
     4000    0.002    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:643(_sanitize_str_dtypes)
     4000    0.002    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\common.py:1409(is_1d_only_ea_dtype)
     4000    0.002    0.000    0.002    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:245(items)
     4000    0.002    0.000    0.002    0.000 {pandas._libs.lib.item_from_zerodim}
     8000    0.002    0.000    0.002    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\typing.py:1333(cast)
     4000    0.002    0.000    0.004    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\_config\config.py:606(_translate_key)
     1202    0.002    0.000    0.362    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\colorama\ansitowin32.py:40(write)
     4000    0.001    0.000    0.001    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\numpy\core\numerictypes.py:652(<listcomp>)
       23    0.001    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:355(_escape)
      215    0.001    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:1054(expand_template)
     39/5    0.001    0.000    0.002    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:493(_parse)
       12    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      215    0.000    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:331(filter)
     1036    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:233(__next)
      898    0.000    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:254(get)
     54/4    0.000    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:71(_compile)
       28    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:969(parse_template)
      300    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      290    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:164(__getitem__)
       47    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:978(addgroup)
     22/4    0.000    0.000    0.002    0.001 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:435(_parse_sub)
      819    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
